"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"26/02/2009","3.915,60","3.849,00","3.948,20","3.849,00","","1,73%"
"25/02/2009","3.849,00","3.816,40","3.884,10","3.803,90","","0,85%"
"24/02/2009","3.816,40","3.850,70","3.852,30","3.772,40","","-0,89%"
"23/02/2009","3.850,70","3.889,10","3.960,00","3.844,90","","-0,99%"
"20/02/2009","3.889,10","4.018,40","4.018,40","3.877,80","","-3,22%"
"19/02/2009","4.018,40","4.006,80","4.045,20","3.983,90","","0,29%"
"18/02/2009","4.006,80","4.034,10","4.056,50","3.938,10","","-0,68%"
"17/02/2009","4.034,10","4.134,80","4.134,80","3.995,40","","-2,44%"
"16/02/2009","4.134,80","4.189,60","4.189,60","4.127,30","","-1,31%"
"13/02/2009","4.189,60","4.202,20","4.291,60","4.168,00","","-0,30%"
"12/02/2009","4.202,20","4.234,30","4.234,30","4.135,10","","-0,76%"
"11/02/2009","4.234,30","4.213,10","4.244,50","4.182,10","","0,50%"
"10/02/2009","4.213,10","4.307,60","4.309,50","4.210,50","","-2,19%"
"09/02/2009","4.307,60","4.291,90","4.334,00","4.244,00","","0,37%"
"06/02/2009","4.291,90","4.228,90","4.330,70","4.225,60","","1,49%"
"05/02/2009","4.228,90","4.228,60","4.235,30","4.133,50","","0,01%"
"04/02/2009","4.228,60","4.164,50","4.262,70","4.160,40","","1,54%"
"03/02/2009","4.164,50","4.077,80","4.173,20","4.043,40","","2,13%"
"02/02/2009","4.077,80","4.149,60","4.149,60","4.036,90","","-1,73%"
"30/01/2009","4.149,60","4.190,10","4.228,00","4.125,20","","-0,97%"
"29/01/2009","4.190,10","4.295,20","4.295,20","4.147,70","","-2,45%"
"28/01/2009","4.295,20","4.194,40","4.317,60","4.194,40","","2,40%"
"27/01/2009","4.194,40","4.209,00","4.211,00","4.130,80","","-0,35%"
"26/01/2009","4.209,00","4.052,50","4.225,20","4.039,40","","3,86%"
"23/01/2009","4.052,50","4.052,20","4.070,80","3.956,70","","0,01%"
"22/01/2009","4.052,20","4.059,90","4.153,90","4.046,40","","-0,19%"
"21/01/2009","4.059,90","4.091,40","4.112,80","4.001,40","","-0,77%"
"20/01/2009","4.091,40","4.108,50","4.184,30","4.060,60","","-0,42%"
"19/01/2009","4.108,50","4.147,10","4.251,90","4.032,40","","-0,93%"
"16/01/2009","4.147,10","4.121,10","4.251,70","4.121,10","","0,63%"
"15/01/2009","4.121,10","4.180,60","4.199,40","4.090,90","","-1,42%"
"14/01/2009","4.180,60","4.399,10","4.426,50","4.115,40","","-4,97%"
"13/01/2009","4.399,10","4.426,20","4.426,20","4.321,30","","-0,61%"
"12/01/2009","4.426,20","4.448,50","4.471,30","4.402,30","","-0,50%"
"09/01/2009","4.448,50","4.505,40","4.534,80","4.431,90","","-1,26%"
"08/01/2009","4.505,40","4.507,50","4.514,70","4.410,50","","-0,05%"
"07/01/2009","4.507,50","4.638,90","4.638,90","4.478,00","","-2,83%"
"06/01/2009","4.638,90","4.579,60","4.675,70","4.562,00","","1,29%"
"05/01/2009","4.579,60","4.561,80","4.618,10","4.520,80","","0,39%"
"02/01/2009","4.561,80","4.434,20","4.561,80","4.430,00","","2,88%"
"31/12/2008","4.434,20","4.392,70","4.456,20","4.392,70","","0,94%"
"30/12/2008","4.392,70","4.319,40","4.406,10","4.319,40","","1,70%"
